path,extension,is_folder,size,last_modified,created_time,is_container,contents,within_container,parent_object,Office_last_mod_time,Office_last_mod_by,XLS_num_sheets,PDF_num_pages,PDF_layout,MP3_track title,MP3_artist,MP3_duration,AUD_bitrate,IMG_size,IMG_dpi,IMG_device
S:/EUD\15000-doom-wads-3xcds,,True,4,Mon Oct  7 20:09:33 2024,,,,,,,,,,,,,,,,,
S:/EUD\31761114660335,,True,4,Mon Oct  7 19:52:22 2024,,,,,,,,,,,,,,,,,
S:/EUD\GGsReserveGlenoraWineCellars,,True,4,Mon Oct  7 19:57:10 2024,,,,,,,,,,,,,,,,,
S:/EUD\GTA Vice City,,True,4,Mon Oct  7 20:00:32 2024,,,,,,,,,,,,,,,,,
S:/EUD\LibrivoxM4bCollectionAudiobooksMain,,True,80,Mon Oct  7 20:04:07 2024,,,,,,,,,,,,,,,,,
S:/EUD\OTRR_YoursTrulyJohnnyDollar_Singles_Bob_Bailey,,True,512,Mon Oct  7 20:24:29 2024,,,,,,,,,,,,,,,,,
S:/EUD\spm,,True,0,Mon Oct  7 19:33:13 2024,,,,,,,,,,,,,,,,,
S:/EUD\file_listing.csv,.csv,False,260,Tue Oct 29 20:21:20 2024,,,,,,,,,,,,,,,,,
S:/EUD\ms-dos-6.22_dvd.zip,.zip,False,3505,Mon Oct  7 19:33:26 2024,,,,,,,,,,,,,,,,,
"S:/EUD\Spider-Man 5000 - 1981 - S01E02 - Dr Doom, Master of the World.mkv",.mkv,False,238711,Mon Oct  7 19:40:07 2024,,,,,,,,,,,,,,,,,
S:/EUD\Spider-Man 5000 - 1981 - S01E09 - Carnival of Crime.mp4,.mp4,False,132776,Mon Oct  7 19:38:27 2024,,,,,,,,,,,,,,,,,
"S:/EUD\Spider-Man 5000 S01E01 Bubble, Bubble, Oil and Trouble.mkv",.mkv,False,238823,Mon Oct  7 19:39:57 2024,,,,,,,,,,,,,,,,,
S:/EUD\15000-doom-wads-3xcds\15000-doom-wads-3xcds_archive.torrent,.torrent,False,39,Mon Oct  7 19:40:43 2024,,,,,,,,,,,,,,,,,
S:/EUD\15000-doom-wads-3xcds\15000-doom-wads-3xcds_files.xml,.xml,False,3,Mon Oct  7 19:40:43 2024,,,,,,,,,,,,,,,,,
S:/EUD\15000-doom-wads-3xcds\15000-doom-wads-3xcds_meta.sqlite,.sqlite,False,21,Mon Oct  7 19:40:43 2024,,,,,,,,,,,,,,,,,
S:/EUD\15000-doom-wads-3xcds\15000-doom-wads-3xcds_meta.xml,.xml,False,36,Mon Oct  7 19:40:44 2024,,,,,,,,,,,,,,,,,
S:/EUD\15000-doom-wads-3xcds\15000-doom-wads-3xcds_reviews.xml,.xml,False,1,Mon Oct  7 19:40:44 2024,,,,,,,,,,,,,,,,,
S:/EUD\15000-doom-wads-3xcds\Doom.jpg,.jpg,False,316,Mon Oct  7 19:40:45 2024,None,,,,,,,,,,,,,,"(1100, 687)",No data,No data
S:/EUD\15000-doom-wads-3xcds\WADS_D1.iso,.iso,False,675568,Mon Oct  7 20:02:09 2024,,,,,,,,,,,,,,,,,
S:/EUD\15000-doom-wads-3xcds\WADS_D2.iso,.iso,False,623778,Mon Oct  7 20:00:36 2024,,,,,,,,,,,,,,,,,
S:/EUD\15000-doom-wads-3xcds\WADS_D3.iso,.iso,False,624748,Mon Oct  7 20:09:27 2024,,,,,,,,,,,,,,,,,
S:/EUD\15000-doom-wads-3xcds\__ia_thumb.jpg,.jpg,False,18,Mon Oct  7 19:56:56 2024,None,,,,,,,,,,,,,,"(180, 112)",No data,No data
S:/EUD\31761114660335\logs,,True,4,Mon Oct  7 19:57:17 2024,,,,,,,,,,,,,,,,,
S:/EUD\31761114660335\31761114660335.epub,.epub,False,1431,Mon Oct  7 19:38:34 2024,,,,,,,,,,,,,,,,,
S:/EUD\31761114660335\31761114660335.pdf,.pdf,False,80989,Mon Oct  7 19:39:48 2024,Sat Feb  5 00:00:00 2022,,,,,Sat Feb  5 00:00:00 2022,,,716,,,,,,,,
S:/EUD\31761114660335\31761114660335_archive.torrent,.torrent,False,20,Mon Oct  7 19:39:49 2024,,,,,,,,,,,,,,,,,
S:/EUD\31761114660335\31761114660335_chocr.html.gz,.gz,False,41511,Mon Oct  7 19:40:23 2024,,,,,,,,,,,,,,,,,
S:/EUD\31761114660335\31761114660335_cloth_detection.log,.log,False,1,Mon Oct  7 19:40:00 2024,,,,,,,,,,,,,,,,,
S:/EUD\31761114660335\31761114660335_djvu.txt,.txt,False,3218,Mon Oct  7 19:40:03 2024,,,,,,,,,,,,,,,,,
S:/EUD\31761114660335\31761114660335_djvu.xml,.xml,False,37764,Mon Oct  7 19:40:35 2024,,,,,,,,,,,,,,,,,
S:/EUD\31761114660335\31761114660335_events.json,.json,False,0,Mon Oct  7 19:40:09 2024,,,,,,,,,,,,,,,,,
S:/EUD\31761114660335\31761114660335_files.xml,.xml,False,9,Mon Oct  7 19:40:10 2024,,,,,,,,,,,,,,,,,
S:/EUD\31761114660335\31761114660335_hocr.html,.html,False,80935,Mon Oct  7 19:41:18 2024,,,,,,,,,,,,,,,,,
S:/EUD\31761114660335\31761114660335_hocr_pageindex.json.gz,.gz,False,9,Mon Oct  7 19:40:24 2024,,,,,,,,,,,,,,,,,
S:/EUD\31761114660335\31761114660335_hocr_searchtext.txt.gz,.gz,False,918,Mon Oct  7 19:40:25 2024,,,,,,,,,,,,,,,,,
S:/EUD\31761114660335\31761114660335_jp2.zip,.zip,False,562684,Mon Oct  7 19:52:17 2024,,,,,,,,,,,,,,,,,
S:/EUD\31761114660335\31761114660335_meta.sqlite,.sqlite,False,40,Mon Oct  7 19:40:36 2024,,,,,,,,,,,,,,,,,
